,Latitude,clouds
0,-9.8,92
1,37.17,64
2,-54.81,75
3,-20.63,48
4,-51.62,0
5,22.08,75
6,47.66,90
7,-11.38,0
8,17.55,48
9,-23.58,76
10,35.73,0
11,-34.42,68
12,5.67,76
13,NA,errorhereamderma
14,28.39,90
15,54.32,0
16,34.64,90
17,43.74,0
18,43.27,0
19,45.63,92
20,-42.88,75
21,-23.12,12
22,-46.19,92
23,46.37,1
24,-11.56,0
25,NA,errorherebairiki
26,NA,errorhereilloqqortoormiut
27,-53.16,75
28,49.64,12
29,26.33,0
30,-33.21,80
31,64.17,92
32,-8.27,8
33,62.45,20
34,NA,errorherevaitupu
35,65.61,92
36,NA,errorherelolua
37,28.02,0
38,15.34,92
39,3.07,44
40,68.54,0
41,NA,errorherebengkulu
42,44.51,48
43,38.52,68
44,NA,errorherenguiu
45,-33.93,40
46,47.58,90
47,-42.48,80
48,-42.78,75
49,53.05,75
50,14.9,12
51,-31.39,0
52,66.77,68
53,-46.28,56
54,42.65,90
55,57.59,0
56,11.95,24
57,68.75,8
58,62.65,24
59,-34.48,92
60,69.3,92
61,-21.21,75
62,NA,errorherefort saint john
63,32.31,0
64,NA,errorheregrand river south east
65,-33.59,32
66,20.2,92
67,59.7,75
68,55.74,20
69,25.53,0
70,71.64,92
71,39.95,1
72,-21.7,0
73,-30.17,100
74,78.22,75
75,58.71,0
76,13.7,36
77,34.7,40
78,38.18,0
79,77.48,36
80,39.72,20
81,NA,errorherebelushya guba
82,NA,errorheretaolanaro
83,-33.64,24
84,52.78,1
85,26.59,80
86,-46.13,92
87,-38.55,0
88,-34.53,88
89,-5.67,92
90,-32.25,0
91,-22.95,0
92,36.68,40
93,11,68
94,39.31,75
95,-20.21,75
96,34.03,90
97,10.57,76
98,-0.6,0
99,69.44,75
100,NA,errorherefevralsk
101,-31.43,0
102,20.55,48
103,50.23,90
104,-20.34,75
105,-17.34,0
106,66.94,88
107,19.71,90
108,73.51,0
109,36.62,80
110,-8.93,12
111,71.97,88
112,NA,errorheremrirt
113,42.34,32
114,50.38,8
115,68.22,75
116,4.14,56
117,-3.13,0
118,24.09,0
119,63.44,92
120,NA,errorhereumm durman
121,-18.5,0
122,22.12,12
123,5.28,75
124,36.85,90
125,67.8,68
126,37.57,64
127,18.62,48
128,NA,errorheretumannyy
129,60.79,90
130,12.18,44
131,71.98,24
132,39.45,75
133,18.69,44
134,29.65,1
135,44.77,1
136,-0.39,20
137,-46.43,0
138,NA,errorherechagda
139,-13.87,76
140,-13.8,36
141,-33.69,12
142,61.99,92
143,9.49,36
144,41.28,80
145,36.62,1
146,28.66,0
147,5.43,64
148,10.52,36
149,56.28,20
150,67.55,12
151,-5.2,44
152,54.78,75
153,NA,errorherewarqla
154,7.38,44
155,61.28,20
156,-0.46,0
157,-8.71,40
158,37.52,40
159,8.12,68
160,45.84,1
161,-41.87,92
162,10.99,40
163,-7.54,20
164,55.38,0
165,6.48,80
166,41.42,0
167,60.82,75
168,-15.77,0
169,-22,0
170,10.24,40
171,-13.85,44
172,63.51,0
173,68.05,88
174,27.97,0
175,34.7,0
176,-30.97,0
177,40.8,90
178,-9.65,0
179,NA,errorheremilingimbi
180,-0.74,12
181,22.89,5
182,8.96,24
183,58.97,88
184,49.44,44
185,-19.98,75
186,10.52,64
187,38.09,90
188,NA,errorheremarcona
189,-26.65,76
190,-17.65,88
191,NA,errorheresolovetskiy
192,6.37,48
193,47.59,90
194,22.48,76
195,32.76,1
196,40.17,0
197,52.47,0
198,-38.38,0
199,NA,errorhereolafsvik
200,48.95,0
201,67.68,0
202,63.92,92
203,63.29,0
204,-21.48,0
205,NA,errorheresentyabrskiy
206,36.97,1
207,-29.69,0
208,61.99,92
209,14.4,76
210,-6.13,92
211,51.79,75
212,13.07,75
213,34.92,64
214,-45.87,12
215,32.72,20
216,-37.88,56
217,29.06,0
218,16.86,75
219,NA,errorhereacarau
220,32.22,1
221,NA,errorhereumzimvubu
222,NA,errorherenizhneyansk
223,10.15,0
224,29.03,0
225,-20.41,75
226,11.28,48
227,67.46,8
228,6.4,92
229,NA,errorheremys shmidta
230,48.39,0
231,49.98,0
232,-17.73,20
233,51.76,0
234,57.8,0
235,18.42,1
236,NA,errorherebolshaya murta
237,69.47,68
238,4.94,75
239,-8.28,8
240,24.63,0
241,-32.49,90
242,30.78,0
243,64.42,75
244,13.47,100
245,60.91,90
246,-17.3,0
247,72.79,76
248,56.57,0
249,-20.01,75
250,45.52,1
251,6.84,75
252,NA,errorhereasau
253,2.79,8
254,29.14,0
255,21.28,0
256,-2.54,48
257,4.89,88
258,-34.85,90
259,69.7,0
260,59.42,44
261,-34.05,36
262,62.57,76
263,58.52,75
264,-9.11,0
265,-6.48,64
266,-28.95,0
267,63.01,24
268,65.28,90
269,43.89,1
270,6.88,92
271,-31.62,0
272,-22.97,0
273,-0.86,8
274,17.54,40
275,54.11,0
276,NA,errorhereyirol
277,-3.71,40
278,62.53,24
279,-38.31,0
280,-19.06,56
281,49.36,64
282,63.18,64
283,24.68,32
284,44,0
285,8.48,44
