,Latitude,humidity
0,-9.8,100
1,37.17,84
2,-54.81,100
3,-20.63,56
4,-51.62,86
5,22.08,69
6,47.66,100
7,-11.38,94
8,17.55,71
9,-23.58,39
10,35.73,58
11,-34.42,95
12,5.67,100
13,NA,errorhereamderma
14,28.39,15
15,54.32,53
16,34.64,87
17,43.74,85
18,43.27,100
19,45.63,24
20,-42.88,62
21,-23.12,100
22,-46.19,93
23,46.37,67
24,-11.56,55
25,NA,errorherebairiki
26,NA,errorhereilloqqortoormiut
27,-53.16,86
28,49.64,67
29,26.33,26
30,-33.21,76
31,64.17,100
32,-8.27,91
33,62.45,56
34,NA,errorherevaitupu
35,65.61,93
36,NA,errorherelolua
37,28.02,75
38,15.34,99
39,3.07,100
40,68.54,45
41,NA,errorherebengkulu
42,44.51,82
43,38.52,100
44,NA,errorherenguiu
45,-33.93,87
46,47.58,100
47,-42.48,99
48,-42.78,62
49,53.05,87
50,14.9,100
51,-31.39,100
52,66.77,65
53,-46.28,88
54,42.65,93
55,57.59,100
56,11.95,59
57,68.75,44
58,62.65,50
59,-34.48,76
60,69.3,28
61,-21.21,88
62,NA,errorherefort saint john
63,32.31,13
64,NA,errorheregrand river south east
65,-33.59,100
66,20.2,19
67,59.7,87
68,55.74,33
69,25.53,70
70,71.64,82
71,39.95,69
72,-21.7,73
73,-30.17,100
74,78.22,93
75,58.71,56
76,13.7,94
77,34.7,78
78,38.18,83
79,77.48,100
80,39.72,68
81,NA,errorherebelushya guba
82,NA,errorheretaolanaro
83,-33.64,100
84,52.78,64
85,26.59,96
86,-46.13,100
87,-38.55,82
88,-34.53,71
89,-5.67,100
90,-32.25,51
91,-22.95,81
92,36.68,69
93,11,93
94,39.31,83
95,-20.21,78
96,34.03,100
97,10.57,100
98,-0.6,100
99,69.44,75
100,NA,errorherefevralsk
101,-31.43,59
102,20.55,94
103,50.23,87
104,-20.34,78
105,-17.34,96
106,66.94,100
107,19.71,88
108,73.51,95
109,36.62,73
110,-8.93,53
111,71.97,96
112,NA,errorheremrirt
113,42.34,100
114,50.38,71
115,68.22,53
116,4.14,100
117,-3.13,78
118,24.09,36
119,63.44,100
120,NA,errorhereumm durman
121,-18.5,73
122,22.12,86
123,5.28,100
124,36.85,88
125,67.8,50
126,37.57,57
127,18.62,87
128,NA,errorheretumannyy
129,60.79,45
130,12.18,96
131,71.98,81
132,39.45,82
133,18.69,33
134,29.65,88
135,44.77,21
136,-0.39,87
137,-46.43,73
138,NA,errorherechagda
139,-13.87,100
140,-13.8,90
141,-33.69,95
142,61.99,100
143,9.49,79
144,41.28,91
145,36.62,72
146,28.66,72
147,5.43,98
148,10.52,95
149,56.28,93
150,67.55,68
151,-5.2,82
152,54.78,55
153,NA,errorherewarqla
154,7.38,98
155,61.28,49
156,-0.46,78
157,-8.71,61
158,37.52,57
159,8.12,98
160,45.84,23
161,-41.87,97
162,10.99,100
163,-7.54,74
164,55.38,51
165,6.48,100
166,41.42,75
167,60.82,50
168,-15.77,25
169,-22,69
170,10.24,100
171,-13.85,84
172,63.51,60
173,68.05,76
174,27.97,73
175,34.7,88
176,-30.97,66
177,40.8,93
178,-9.65,56
179,NA,errorheremilingimbi
180,-0.74,100
181,22.89,61
182,8.96,83
183,58.97,66
184,49.44,83
185,-19.98,78
186,10.52,85
187,38.09,87
188,NA,errorheremarcona
189,-26.65,97
190,-17.65,100
191,NA,errorheresolovetskiy
192,6.37,100
193,47.59,82
194,22.48,95
195,32.76,38
196,40.17,94
197,52.47,87
198,-38.38,41
199,NA,errorhereolafsvik
200,48.95,87
201,67.68,90
202,63.92,86
203,63.29,51
204,-21.48,95
205,NA,errorheresentyabrskiy
206,36.97,72
207,-29.69,71
208,61.99,100
209,14.4,44
210,-6.13,95
