,Latitude,temperature
0,-9.8,80.54
1,37.17,69.83
2,-54.81,32
3,-20.63,65.33
4,-51.62,33.8
5,22.08,82.4
6,47.66,51.8
7,-11.38,63.71
8,17.55,84.5
9,-23.58,68.93
10,35.73,84.2
11,-34.42,44.99
12,5.67,82.25
13,NA,errorhereamderma
14,28.39,96.8
15,54.32,68.84
16,34.64,73.4
17,43.74,58.58
18,43.27,59
19,45.63,87.11
20,-42.88,53.6
21,-23.12,75.86
22,-46.19,41.03
23,46.37,62.6
24,-11.56,51.29
25,NA,errorherebairiki
26,NA,errorhereilloqqortoormiut
27,-53.16,37.4
28,49.64,68.03
29,26.33,82.4
30,-33.21,48.32
31,64.17,35.6
32,-8.27,73.88
33,62.45,68
34,NA,errorherevaitupu
35,65.61,35.6
36,NA,errorherelolua
37,28.02,88.01
38,15.34,68.39
39,3.07,82.79
40,68.54,72.53
41,NA,errorherebengkulu
42,44.51,75.95
43,38.52,67.76
44,NA,errorherenguiu
45,-33.93,51.8
46,47.58,51.8
47,-42.48,44.9
48,-42.78,53.6
49,53.05,50
50,14.9,72.62
51,-31.39,37.52
52,66.77,68.21
53,-46.28,41.39
54,42.65,68
55,57.59,50
56,11.95,80.9
57,68.75,54.53
58,62.65,69.02
59,-34.48,35.45
60,69.3,74.42
61,-21.21,78.8
62,NA,errorherefort saint john
63,32.31,82.4
64,NA,errorheregrand river south east
65,-33.59,57.41
66,20.2,90.44
67,59.7,51.8
68,55.74,77
69,25.53,87.11
70,71.64,40.67
71,39.95,78.8
72,-21.7,40.4
73,-30.17,54.17
74,78.22,41
75,58.71,71.9
76,13.7,83.51
77,34.7,78.8
78,38.18,71.6
79,77.48,31.22
80,39.72,64.4
81,NA,errorherebelushya guba
82,NA,errorheretaolanaro
83,-33.64,63.44
84,52.78,75.2
85,26.59,67.94
86,-46.13,42.02
87,-38.55,34.46
88,-34.53,53.6
89,-5.67,79.91
90,-32.25,59
91,-22.95,51.8
92,36.68,78.8
93,11,82.07
94,39.31,78.8
95,-20.21,71.6
96,34.03,64.4
97,10.57,79.82
98,-0.6,80.36
99,69.44,42.8
100,NA,errorherefevralsk
101,-31.43,60.8
102,20.55,52.19
103,50.23,48.2
104,-20.34,71.6
105,-17.34,77.12
106,66.94,30.32
107,19.71,75.2
108,73.51,34.91
109,36.62,62.63
110,-8.93,80.09
111,71.97,48.86
112,NA,errorheremrirt
113,42.34,51.02
114,50.38,62.72
115,68.22,51.8
116,4.14,82.61
117,-3.13,80.6
118,24.09,77.75
119,63.44,46.16
120,NA,errorhereumm durman
121,-18.5,64.25
122,22.12,84.05
123,5.28,78.8
124,36.85,82.4
125,67.8,71.72
126,37.57,82.4
127,18.62,67.22
128,NA,errorheretumannyy
129,60.79,62.6
130,12.18,84.59
131,71.98,56.15
132,39.45,66.2
133,18.69,79.37
134,29.65,82.4
135,44.77,84.2
136,-0.39,51.8
137,-46.43,39.05
138,NA,errorherechagda
139,-13.87,81.53
140,-13.8,54.26
141,-33.69,41.75
142,61.99,37.52
143,9.49,78.38
144,41.28,49.49
145,36.62,66.2
146,28.66,68
147,5.43,71.09
148,10.52,65.6
149,56.28,53.45
150,67.55,55.25
151,-5.2,78.74
152,54.78,62.6
153,NA,errorherewarqla
154,7.38,72.89
155,61.28,79.1
156,-0.46,70.64
157,-8.71,82.4
158,37.52,80.6
159,8.12,74.69
160,45.84,96.8
161,-41.87,46.79
162,10.99,78.8
163,-7.54,82.4
164,55.38,76.31
165,6.48,78.38
166,41.42,61.64
167,60.82,75.2
168,-15.77,75.2
169,-22,45.44
170,10.24,75.2
171,-13.85,79.64
172,63.51,70.37
173,68.05,57.14
174,27.97,67.85
175,34.7,75.2
176,-30.97,27.53
177,40.8,62.6
178,-9.65,84.05
179,NA,errorheremilingimbi
180,-0.74,71.09
181,22.89,86
182,8.96,50.84
183,58.97,69.02
184,49.44,55.7
185,-19.98,71.6
186,10.52,72.71
187,38.09,55.4
188,NA,errorheremarcona
189,-26.65,48.77
190,-17.65,55.25
191,NA,errorheresolovetskiy
192,6.37,83.42
193,47.59,57.2
194,22.48,82.97
195,32.76,95
196,40.17,55.52
197,52.47,55.4
198,-38.38,37.52
199,NA,errorhereolafsvik
200,48.95,53.6
201,67.68,57.32
202,63.92,60.65
203,63.29,80.27
204,-21.48,65.24
205,NA,errorheresentyabrskiy
206,36.97,80.6
207,-29.69,62.63
208,61.99,51.8
209,14.4,69.47
210,-6.13,71.63
211,51.79,53.6
212,13.07,77
213,34.92,75.2
214,-45.87,40.94
215,32.72,82.4
216,-37.88,53.36
217,29.06,64.25
218,16.86,82.4
219,NA,errorhereacarau
220,32.22,93.2
221,NA,errorhereumzimvubu
222,NA,errorherenizhneyansk
223,10.15,80.6
224,29.03,73.43
225,-20.41,71.6
226,11.28,80.27
227,67.46,68.75
228,6.4,77.75
229,NA,errorheremys shmidta
230,48.39,61.1
231,49.98,72.62
232,-17.73,84.2
233,51.76,80.09
234,57.8,70.01
235,18.42,82.4
236,NA,errorherebolshaya murta
237,69.47,50
238,4.94,73.4
239,-8.28,73.97
240,24.63,78.8
241,-32.49,55.4
242,30.78,67.67
243,64.42,48.2
244,13.47,71
245,60.91,39.2
246,-17.3,43.19
247,72.79,28.7
248,56.57,57.68
249,-20.01,71.6
250,45.52,91.4
251,6.84,68
252,NA,errorhereasau
253,2.79,70.19
254,29.14,71.36
255,21.28,77.93
256,-2.54,82.16
257,4.89,61.46
258,-34.85,53.6
259,69.7,37.25
260,59.42,62.6
261,-34.05,56.78
262,62.57,50
263,58.52,80.6
264,-9.11,83.78
265,-6.48,69.56
266,-28.95,61.73
267,63.01,74.78
268,65.28,51.8
269,43.89,69.8
270,6.88,82.07
271,-31.62,33.83
272,-22.97,71.27
273,-0.86,81.17
274,17.54,86
275,54.11,44.18
276,NA,errorhereyirol
277,-3.71,78.8
278,62.53,58.67
279,-38.31,37.52
280,-19.06,78.8
281,49.36,48.23
282,63.18,51.8
283,24.68,84.77
284,44,49.4
285,8.48,66.32
286,50.68,48.5
287,NA,errorhereattawapiskat
288,60.75,54.98
289,69.49,62.45
290,45.18,64.4
291,NA,errorherekamenskoye
292,-8.9,73.79
293,48.95,53.6
294,21.35,84.2
295,1.63,68.84
296,27.5,73.4
297,-14.08,63.71
298,-29.03,44.6
299,-33.02,63.26
300,41.19,78.29
301,-11.41,73.07
