,Latitude,wind
0,-9.8,19.39
1,37.17,12.35
2,-54.81,4.7
3,-20.63,5.97
4,-51.62,10.29
5,22.08,19.46
6,47.66,5.82
7,-11.38,4.63
8,17.55,11.34
9,-23.58,10.78
10,35.73,3.36
11,-34.42,3.18
12,5.67,11.68
13,NA,errorhereamderma
14,28.39,13.87
15,54.32,3.74
16,34.64,6.93
17,43.74,13.24
18,43.27,4.7
19,45.63,15.03
20,-42.88,12.75
21,-23.12,12.57
22,-46.19,18.28
23,46.37,4.7
24,-11.56,6.2
25,NA,errorherebairiki
26,NA,errorhereilloqqortoormiut
27,-53.16,12.75
28,49.64,14.03
29,26.33,4.7
30,-33.21,4.41
31,64.17,10.29
32,-8.27,1.95
33,62.45,17.22
34,NA,errorherevaitupu
35,65.61,1.12
36,NA,errorherelolua
37,28.02,2.84
38,15.34,6.31
39,3.07,7.09
40,68.54,4.18
41,NA,errorherebengkulu
42,44.51,11.12
43,38.52,9.33
44,NA,errorherenguiu
45,-33.93,6.93
46,47.58,5.82
47,-42.48,3.96
48,-42.78,12.75
49,53.05,13.42
50,14.9,10.56
51,-31.39,6.42
52,66.77,2.95
53,-46.28,21.52
54,42.65,3.85
55,57.59,5.64
56,11.95,2.28
57,68.75,6.64
58,62.65,3.51
59,-34.48,2.51
60,69.3,7.2
61,-21.21,6.93
62,NA,errorherefort saint john
63,32.31,4.7
64,NA,errorheregrand river south east
65,-33.59,7.31
66,20.2,4.18
67,59.7,6.71
68,55.74,9.17
69,25.53,16.49
70,71.64,13.58
71,39.95,5.82
72,-21.7,2.73
73,-30.17,12.01
74,78.22,12.75
75,58.71,3.4
76,13.7,2.73
77,34.7,9.17
78,38.18,2.24
79,77.48,3.96
80,39.72,4.7
81,NA,errorherebelushya guba
82,NA,errorheretaolanaro
83,-33.64,20.07
84,52.78,3.36
85,26.59,1.5
86,-46.13,20.74
87,-38.55,15.26
88,-34.53,4.7
89,-5.67,13.24
90,-32.25,11.41
91,-22.95,1.12
92,36.68,17.83
93,11,2.28
94,39.31,10.29
95,-20.21,13.87
96,34.03,2.24
97,10.57,16.82
98,-0.6,2.28
99,69.44,9.17
100,NA,errorherefevralsk
101,-31.43,6.93
102,20.55,2.17
103,50.23,2.24
104,-20.34,13.87
105,-17.34,10.22
106,66.94,1.83
107,19.71,4.7
108,73.51,7.76
109,36.62,3.74
110,-8.93,2.95
111,71.97,14.25
112,NA,errorheremrirt
113,42.34,3.51
114,50.38,3.96
115,68.22,9.17
116,4.14,3.4
117,-3.13,2.39
118,24.09,9.1
119,63.44,22.08
120,NA,errorhereumm durman
121,-18.5,0.38
122,22.12,8.66
123,5.28,2.24
124,36.85,6.93
125,67.8,4.52
126,37.57,8.05
127,18.62,1.61
128,NA,errorheretumannyy
129,60.79,4.7
130,12.18,5.97
131,71.98,14.92
132,39.45,4.7
133,18.69,3.29
134,29.65,4.7
135,44.77,9.17
136,-0.39,6.93
137,-46.43,13.8
138,NA,errorherechagda
139,-13.87,8.21
140,-13.8,3.62
